result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,26,Dunst Opening,black,18,18,True,False,22,12,0.6875,0.8333333333333333,33.68,33.68,-2.22
0-1,55,Benko's Opening,black,12,12,True,True,22,22,0.5142857142857143,1.0294117647058825,31.89814814814815,35.25925925925926,0.9
1-0,50,Larsen's Opening,white,18,18,True,False,40,24,2.142857142857143,1.2999999999999998,33.27272727272727,25.7979797979798,0.5
0-1,51,Bird's Opening,black,18,18,True,False,10,12,1.6666666666666667,1.9393939393939394,32.93,34.88,-0.23
0-1,61,King' s Pawn Opening,black,18,18,True,True,14,30,1.0416666666666667,0.46774193548387094,30.583333333333332,33.78333333333333,-0.52
1-0,44,English Opening,white,10,10,True,True,32,12,0.8863636363636365,0.836734693877551,35.310344827586206,35.06896551724138,0.69
1-0,66,Reti Opening,white,20,20,True,True,38,26,2.5357142857142856,2.148148148148148,32.30534351145038,27.83969465648855,-0.56
0-1,43,Bird's Opening,black,13,13,True,True,20,6,1.1666666666666667,1.3125,32.44047619047619,35.285714285714285,-0.78
0-1,53,Benko's Opening,black,7,7,False,False,6,16,0.4375,1.647058823529412,23.625,31.884615384615383,-0.25
0-1,104,English Opening,black,19,19,True,True,10,16,0.930232558139535,0.25555555555555554,24.145631067961165,29.364077669902912,0.07
1-0,54,Alekhine's Defense,white,9,9,False,True,24,4,1.4242424242424243,0.7714285714285715,39.700934579439256,32.598130841121495,1.61
0-1,50,Benko's Opening,black,14,14,True,False,6,8,0.6818181818181819,1.0465116279069766,31.836734693877553,35.30612244897959,1.09
0-1,37,Benko's Opening,black,5,5,True,True,12,18,0.75,1.0,33.333333333333336,38.25,0.3
1-0,62,Benko's Opening,white,10,10,True,True,38,12,0.5882352941176471,0.7450980392156863,35.78861788617886,25.983739837398375,0.71
0-1,19,Benko's Opening,black,5,5,True,True,0,2,0.7916666666666666,1.2,33.30555555555556,33.77777777777778,0.44
0-1,125,Bird's Opening,black,15,15,True,True,6,36,0.4489795918367347,0.5294117647058824,14.528225806451612,27.137096774193548,-0.73
1/2-1/2,172,Bird's Opening,draw,9,9,False,False,32,18,0.7037037037037036,0.6578947368421053,16.638483965014576,25.341107871720116,-0.9
1-0,42,Dunst Opening,white,19,19,False,True,22,10,0.7222222222222222,0.27499999999999997,36.626506024096386,31.03614457831325,-0.84
0-1,58,Bird's Opening,black,6,6,True,False,14,6,1.4230769230769231,1.15625,30.19298245614035,32.69298245614035,0.06
0-1,33,Dunst Opening,black,20,20,True,True,6,8,1.1891891891891893,1.105263157894737,33.5625,38.0625,-0.36
1-0,59,Queen's Pawn Opening,white,16,16,True,True,24,10,0.490566037735849,0.574468085106383,34.1965811965812,28.136752136752136,-0.87
1-0,31,Larsen's Opening,white,12,12,True,True,4,4,1.9000000000000001,0.9354838709677419,33.77049180327869,33.68852459016394,0.96
0-1,67,English Opening,black,12,12,False,False,20,12,0.3541666666666667,1.5294117647058825,25.62878787878788,30.71969696969697,1.55
0-1,45,Bird's Opening,black,16,16,False,True,12,28,1.0,0.9318181818181819,30.829545454545453,37.375,0.09
0-1,48,Benko's Opening,black,6,6,True,True,2,34,0.6444444444444445,0.7291666666666666,31.117021276595743,35.53191489361702,1.14
1/2-1/2,162,Reti Opening,draw,7,7,True,True,10,26,0.7999999999999999,1.2307692307692308,17.41486068111455,24.241486068111456,1.39
0-1,51,King' s Pawn Opening,black,6,6,True,False,26,6,0.5333333333333334,0.7222222222222222,26.57,33.83,-0.56
0-1,57,Reti Opening,black,7,7,True,True,12,26,0.8260869565217391,0.5862068965517241,31.883928571428573,39.0,0.22
0-1,55,Reti Opening,black,13,13,True,False,12,34,1.3055555555555556,1.0517241379310345,35.888888888888886,33.06481481481482,1.53
0-1,49,English Opening,black,12,12,True,True,14,16,0.49056603773584906,0.9090909090909091,34.604166666666664,36.635416666666664,-1.17
