result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,opposite_side_castle,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,52,Benko's Opening,black,15,15,True,True,False,4,8,1.0,0.8913043478260868,2.813725490196078,2.9411764705882355,28.57843137254902,34.51960784313726,-0.23
1-0,34,Queen's Pawn Opening,white,7,7,True,True,False,4,2,0.5869565217391305,0.6341463414634146,3.5223880597014925,2.582089552238806,38.95522388059702,33.35820895522388,0.39
1-0,96,Ruy López,white,5,5,True,False,False,20,6,0.6666666666666666,1.7272727272727273,2.43979057591623,1.418848167539267,28.38219895287958,21.094240837696336,1.0
0-1,73,Benko's Opening,black,9,9,True,False,False,6,14,0.46875,0.9305555555555556,2.243055555555556,2.6527777777777777,27.11111111111111,32.458333333333336,0.12
0-1,100,Queen's Pawn Opening,black,5,5,False,True,False,14,20,0.7096774193548386,1.276595744680851,2.267676767676768,2.5,23.141414141414145,26.69191919191919,-0.27
0-1,65,Queen's Pawn Opening,black,20,20,False,True,False,12,28,0.7575757575757576,0.8666666666666666,2.640625,2.5390625,26.1484375,33.9765625,-0.3
1-0,86,Dunst Opening,white,11,11,True,True,False,16,14,0.9,0.7142857142857143,2.2046783625730995,1.9883040935672516,25.49122807017544,24.257309941520468,0.82
0-1,55,Dunst Opening,black,9,9,True,True,False,18,16,0.2666666666666666,2.769230769230769,2.25,2.7685185185185186,30.73148148148148,31.314814814814813,-0.33
0-1,55,Dunst Opening,black,20,20,True,True,True,10,20,0.3090909090909091,1.142857142857143,2.1666666666666665,2.574074074074074,27.88888888888889,33.80555555555556,-0.55
0-1,38,English Opening,black,11,11,True,False,False,6,16,0.857142857142857,1.1538461538461535,2.3378378378378377,2.824324324324324,31.18918918918919,37.608108108108105,-0.34
0-1,51,Reti Opening,black,6,6,True,True,True,2,6,1.2631578947368425,0.4313725490196078,2.8,2.65,31.79,33.22,-0.37
0-1,84,Benko's Opening,black,11,11,False,False,False,12,22,0.9677419354838708,0.675,1.9457831325301205,2.566265060240964,24.120481927710845,31.56024096385542,0.59
1-0,64,English Opening,white,18,18,True,True,True,36,8,0.5735294117647058,0.6956521739130436,3.283464566929134,2.8897637795275597,37.10236220472441,32.76377952755905,0.5
0-1,35,Larsen's Opening,black,8,8,True,True,False,28,16,1.5416666666666667,1.393939393939394,2.3823529411764706,2.411764705882353,30.63235294117647,34.0735294117647,-0.71
1-0,66,Larsen's Opening,white,11,11,True,True,False,24,12,0.540983606557377,1.1142857142857143,1.938931297709924,1.5725190839694656,31.106870229007637,21.47328244274809,-1.57
0-1,28,Reti Opening,black,13,13,True,False,False,8,10,1.2962962962962965,0.7222222222222222,3.2962962962962963,2.8703703703703702,36.51851851851852,34.81481481481482,-0.21
1-0,42,Benko's Opening,white,7,7,False,False,False,10,10,1.2962962962962965,0.875,2.7951807228915664,2.4939759036144578,34.08433734939759,31.57831325301205,1.47
0-1,154,Dunst Opening,black,5,5,False,False,False,12,22,1.0,0.25,1.4215686274509804,2.294117647058824,15.245098039215684,27.640522875816995,-0.46
1-0,69,Reti Opening,white,5,5,True,True,False,10,4,0.5818181818181818,0.361111111111111,2.5255474452554743,2.0437956204379564,33.0,28.66423357664233,0.2
1/2-1/2,169,Reti Opening,draw,7,7,True,True,True,18,4,0.1693548387096774,0.218978102189781,1.5905044510385755,1.9554896142433236,20.020771513353115,20.0,-1.44
1-0,58,Dunst Opening,white,12,12,True,True,False,28,10,0.2051282051282051,7.285714285714286,1.808695652173913,1.7130434782608697,31.417391304347827,26.42608695652174,-0.05
1-0,57,Queen's Pawn Opening,white,12,12,True,True,False,24,12,0.6447368421052632,0.6176470588235294,2.5309734513274336,2.2831858407079646,35.91150442477876,25.38938053097345,0.15
1-0,36,Reti Opening,white,17,17,True,True,False,10,36,1.0333333333333334,0.75,2.915492957746479,2.436619718309859,36.42253521126761,33.521126760563384,0.42
1-0,104,"English, Symmetrical Variation",white,18,18,True,True,True,52,38,1.1724137931034484,0.3999999999999999,2.719806763285024,2.396135265700483,30.120772946859905,26.64251207729469,-2.0
0-1,72,Bird's Opening,black,19,19,False,True,False,18,4,0.9047619047619048,0.8235294117647058,2.176056338028169,3.211267605633803,23.54225352112676,35.73943661971831,-1.34
0-1,32,Bird's Opening,black,17,17,True,False,False,6,8,1.318181818181818,0.5454545454545454,2.306451612903226,2.903225806451613,33.61290322580645,34.96774193548387,-0.5
0-1,56,Benko's Opening,black,11,11,True,True,False,8,12,2.3043478260869565,1.525,3.1,2.6545454545454548,34.97272727272728,34.97272727272728,0.41
1-0,59,Benko's Opening,white,16,16,True,False,False,12,12,0.5151515151515151,0.6250000000000001,2.8461538461538463,2.1623931623931623,34.27350427350427,27.17948717948718,0.32
1-0,41,Larsen's Opening,white,19,19,False,True,False,34,12,1.809523809523809,1.2941176470588234,2.925925925925926,2.567901234567901,33.45679012345679,31.71604938271605,0.1
1-0,34,English Opening,white,6,6,True,False,False,8,10,1.0,1.1904761904761905,2.8358208955223883,1.7761194029850746,35.88059701492537,31.23880597014925,0.34
0-1,70,"English, Symmetrical Variation",black,18,18,False,True,False,10,28,0.4651162790697674,0.4615384615384615,2.282608695652174,2.8840579710144927,31.17391304347826,35.98550724637681,0.08
1-0,64,Benko's Opening,white,12,12,True,True,False,16,6,0.3714285714285714,0.5166666666666666,2.968503937007874,1.795275590551181,36.173228346456696,27.88188976377953,0.63
1-0,58,Dunst Opening,white,7,7,True,False,False,12,16,1.0980392156862746,0.5737704918032787,3.0869565217391304,2.6,34.8,33.391304347826086,0.29
0-1,69,Reti Opening,black,17,17,False,False,False,30,32,0.3783783783783784,1.28,1.6544117647058822,2.588235294117647,24.36764705882353,32.22058823529412,-0.82
0-1,86,Dunst Opening,black,20,20,True,True,False,10,24,1.7692307692307692,4.75,2.0588235294117645,2.776470588235294,25.1,24.86470588235294,0.03
1-0,39,Bird's Opening,white,9,9,True,True,False,12,8,0.9696969696969698,0.9393939393939394,3.064935064935065,3.0779220779220777,33.51948051948052,36.74025974025974,-0.48
0-1,53,Bird's Opening,black,9,9,True,True,False,12,30,0.7,0.8571428571428572,2.4038461538461537,2.5576923076923075,31.528846153846157,37.02884615384615,0.76
1/2-1/2,126,Bird's Opening,draw,20,20,True,True,False,10,24,0.9375,0.7391304347826086,1.6,1.432,23.688,18.576,-0.37
1-0,42,Bird's Opening,white,19,19,True,True,True,34,6,0.6470588235294118,1.0606060606060606,3.2048192771084336,2.253012048192771,38.36144578313253,29.710843373493976,-0.02
1-0,103,King' s Pawn Opening,white,11,11,True,True,True,28,10,0.9142857142857144,0.6739130434782609,2.424390243902439,1.6926829268292682,28.15609756097561,24.95609756097561,-0.35
1-0,54,Benko's Opening,white,13,13,True,True,False,34,10,0.702127659574468,0.3809523809523809,2.7196261682242997,2.2429906542056077,37.86915887850467,28.074766355140188,-0.47
1-0,61,Alekhine's Defense,white,12,12,True,False,False,26,20,0.6249999999999999,1.0,2.479338842975207,2.256198347107438,36.01652892561984,27.553719008264466,0.39
